mobile_event,desktop_shell
BlastFromThePast,Boring
ClownHoldingMetalRod,AdultProof
EmailFromACME,Likes
EmailFromAntonioGuildenstern,TheSadNote
EmailFromSchool,TheAngryNote
Fruitcakes,DiaperRash
GreatUncleElmer,TheSpam1
GroupOfKidsAtTheDoor,TheTrainer
HearStrangeSound,TheRareBird
InterestingArticleAboutFossils,IAteSoup
Invitation,TheCollector
LoanReturned,IAmOnABoat
MarchingBandTripExpenses,OhSoClever
MenInBlackAtDoor,EPAVisit
MetallicKnockingOnDoor,ASmallPackage
MeteoriteFallsInYard1,TheNAS
MeteoriteFallsInYard2,ATinyWhiteBox
MissionFromGod,AMediumBrownBox
OddOldWomanAtDoor,ACealedGreenBag
RIPUncleAlpert,TheNCA
ResurrectionOfAgatha,ILostMyPants
StrangePackageOnPorch,BoySellingCupcakes
SurpriseVisitFromUnclePhineas,SoManyBabies
Teens,CareerChangeCouncelor
Volunteer,
