event_class,kind,value
CEventBlastFromThePast,Title,A Blast from the Past
CEventBlastFromThePast,Desc,"A long time ago, in a land far, far away, {name} went to college, where {he/she} had great friends with names like ""Cosmo"" and ""Conga the Moose Wrestler"". As often happens, time went by, folks drifted apart, and {he/she} lost contact with them - until today. An envelope arrived from the demon himself, Zack. {name} has no memory of it, but apparently, {he/she} loaned Zack some money all those years ago. One thing led to another, and Zack never paid it back, though he always meant to. Enclosed in the envelope is the money he owed, along with a chatty note. These days he's a successful lawyer with two kids in college."
CEventClownHoldingMetalRod,Title,The Clown at Your Door
CEventClownHoldingMetalRod,Desc,"There's a knock at the door, and when you look through the peephole, you see a scary-looking clown standing at the door holding a metal rod in his right hand."
CEventClownHoldingMetalRod,ChoiceA,Open the door
CEventClownHoldingMetalRod,ChoiceB,Don't open the door!
CEventClownHoldingMetalRod,ResultA,"It's just a guy late to a kid's birthday party. After he replaced the flat on his old car in front of your house, he figured he might as well get some directions from a local. And the metal rod? It's for the car jack. For your help, he tells you a funny joke and makes a real kitten appear out of thin air. He hands you the kitten, turns and leaves."
CEventClownHoldingMetalRod,ResultB,"You yell, ""Go away!"" and then take another peek through the peep hole. The clown says, ""Sheesh! Some people!"" and then turns and walks away."
CEventEmailFromACME,Title,Subject: Rocket-Propelled Roller Skates - SOLD!
CEventEmailFromACME,Desc,"We thought you would like to know that the ACME Rocket-Propelled Roller Skates that we've been holding on consignment for you have sold! Congratulations. Per our arrangement, we made a direct deposit to your bank. Please let us know if we can assist you further."
CEventEmailFromAntonioGuildenstern,Title,Subject: Casting: The Legend of Eerie Hollow
CEventEmailFromAntonioGuildenstern,Desc,"Here's a big thank you to everyone who tried out for our upcoming school production of The Legend of Eerie Hollow. There was no shortage of talent, and that made casting very difficult, indeed. I've cast {name} as The Storyteller, a very important part. If you have a background in theatre, have basic building skills, or just want to help out in general, I'm looking for volunteers to help make this the best production yet!"
CEventEmailFromSchool,Title,Subject: Pinkeye
